"","TR"
"1",1.9
"2",1.86
"3",1.88
"4",1.89
"5",1.93
"6",1.93
"7",1.95
"8",1.95
"9",1.96
"10",1.97
"11",1.97
"12",1.97
"13",1.97
"14",1.99
"15",1.98
"16",2.01
"17",2.02
"18",2.01
"19",2.04
"20",2.02
"21",2.05
"22",2.03
"23",2.05
"24",2.04
"25",2.04
"26",2.06
"27",2.07
"28",2.1
"29",2.09
"30",2.1
"31",2.11
"32",2.08
"33",2.06
"34",2.05
"35",2.08
"36",2.06
"37",2.05
"38",2.03
"39",2.04
"40",2.02
"41",2.02
"42",2.04
"43",2.02
"44",2.02
"45",1.99
"46",1.94
"47",1.91
"48",1.89
"49",1.92
"50",1.9
"51",1.88
"52",1.88
"53",1.82
"54",1.84
"55",1.85
"56",1.83
"57",1.82
"58",1.76
"59",1.75
"60",1.74
"61",1.71
"62",1.76
"63",1.79
"64",1.8
"65",1.81
"66",1.8
"67",1.77
"68",1.79
"69",1.82
"70",1.84
"71",1.84
"72",1.82
"73",1.82
"74",1.8
"75",1.79
"76",1.78
"77",1.77
"78",1.83
"79",1.84
"80",1.85
"81",1.86
"82",1.87
"83",1.88
"84",1.88
"85",1.86
"86",1.87
"87",1.88
"88",1.88
"89",1.9
"90",1.88
"91",1.86
"92",1.86
"93",1.89
"94",1.9
"95",1.9
"96",1.91
"97",1.92
"98",1.92
"99",1.92
"100",1.94
"101",1.97
"102",1.99
"103",2
"104",1.97
"105",1.99
"106",1.98
"107",1.98
"108",2.01
"109",2.02
"110",2.03
"111",2.04
"112",2.05
"113",2.08
"114",2.07
"115",2.08
"116",2.08
"117",2.08
"118",2.08
"119",2.06
"120",2.05
"121",2.06
"122",2.07
"123",2.1
"124",2.09
"125",2.09
"126",2.06
"127",2.07
"128",2.09
"129",2.11
"130",2.13
"131",2.13
"132",2.13
"133",2.11
"134",2.13
"135",2.16
"136",2.15
"137",2.16
"138",2.19
"139",2.2
"140",2.21
"141",2.2
"142",2.2
"143",2.2
"144",2.18
"145",2.19
"146",2.21
"147",2.21
"148",2.2
"149",2.2
"150",2.19
"151",2.2
"152",2.21
"153",2.25
"154",2.25
"155",2.27
"156",2.26
"157",2.25
"158",2.29
"159",2.29
"160",2.25
"161",2.24
"162",2.26
"163",2.3
"164",2.31
"165",2.3
"166",2.3
"167",2.28
"168",2.25
"169",2.26
"170",2.28
"171",2.33
"172",2.32
"173",2.31
"174",2.28
"175",2.3
"176",2.31
"177",2.33
"178",2.34
"179",2.34
"180",2.36
"181",2.39
"182",2.38
"183",2.4
"184",2.42
"185",2.4
"186",2.42
"187",2.39
"188",2.34
"189",2.29
"190",2.32
"191",2.36
"192",2.37
"193",2.42
"194",2.46
"195",2.45
"196",2.46
"197",2.45
"198",2.44
"199",2.47
"200",2.47
"201",2.5
"202",2.47
"203",2.46
"204",2.48
"205",2.47
"206",2.47
"207",2.43
"208",2.43
"209",2.4
"210",2.4
"211",2.4
"212",2.36
"213",2.38
"214",2.41
"215",2.45
"216",2.41
"217",2.41
"218",2.42
"219",2.45
"220",2.51
"221",2.54
"222",2.56
"223",2.57
"224",2.6
"225",2.6
"226",2.62
"227",2.6
"228",2.59
"229",2.61
"230",2.63
"231",2.64
"232",2.59
"233",2.58
"234",2.58
"235",2.57
"236",2.52
"237",2.45
"238",2.45
"239",2.41
"240",2.38
"241",2.42
"242",2.42
"243",2.43
"244",2.47
"245",2.48
"246",2.5
"247",2.53
"248",2.53
"249",2.54
"250",2.55
"251",2.52
"252",2.53
"253",2.54
"254",2.55
"255",2.58
"256",2.58
"257",2.51
"258",2.47
"259",2.48
"260",2.49
"261",2.48
"262",2.49
"263",2.5
"264",2.52
"265",2.51
"266",2.47
"267",2.46
"268",2.44
"269",2.44
"270",2.43
"271",2.45
"272",2.44
"273",2.44
"274",2.43
"275",2.37
"276",2.4
"277",2.41
"278",2.43
"279",2.45
"280",2.43
"281",2.43
"282",2.41
"283",2.39
"284",2.39
"285",2.4
"286",2.41
"287",2.38
"288",2.37
"289",2.39
"290",2.39
"291",2.41
"292",2.44
"293",2.46
"294",2.48
"295",2.45
"296",2.46
"297",2.45
"298",2.45
"299",2.46
"300",2.45
"301",2.45
"302",2.5
"303",2.51
"304",2.53
"305",2.52
"306",2.53
"307",2.52
"308",2.54
"309",2.56
"310",2.55
"311",2.59
"312",2.58
"313",2.56
"314",2.55
"315",2.58
"316",2.59
"317",2.59
"318",2.58
"319",2.55
"320",2.55
"321",2.56
"322",2.57
